,948891.28,,,,,,,,,,
SL NO,STOCK,PAID,TRADE PRICE,QTY,CURRENT PRICE,SOLD PRICE,VALUE,P/L,,,
,Tata Gold Exchange Traded Fund,11030,11.03,1000,11.96,11.96,11960,930,,,
,Tata Gold Exchange Traded Fund,231800,11.59,20000,11.97,11.97,239400,7600,,,
,Tata Gold Exchange Traded Fund,245244.4,11.59,21160,11.96,11.96,253073.6,7829.2,,,
,Ather Energy,22154.55,671.35,33,743.35,743.35,24530.55,2376,,,
,Ather Energy,16243.2,676.8,24,743.35,743.35,17840.4,1597.2,,,
,Ather Energy,387819.04,682.78,568,743.35,743.35,422222.8,34403.76,,#REF!,#REF!
,Ather Energy,238280.25,733.17,325,743.35,743.35,241588.75,3308.5,,,
,Ather Energy,263934,733.15,360,743.35,743.35,267606,3672,,,
,,,,,,,,,,,
,,,,,,,,,,,
,LOAN 1,,,,,,,,,,
,511911.28,,,,,,,,,440040,51502
1,85427,,863464.28,,,955815.1,,,,,
2,85427,,778037.28,,,870388.1,,,,,
3,85427,,692610.28,,,784961.1,,,,,
4,85427,,607183.28,,,699534.1,,,,,
5,85427,,521756.28,,,614107.1,,,,,
6,84776.28,,436980,,,529330.82,,,,,
,LOAN 2,,,,,,,,,,
,"436,980.00",,,,,,,,,,
1,36670,,"400,310.00",,,"400,310.00",,,,,
2,36670,,"363,640.00",,,"363,640.00",,,,,
3,36670,,"326,970.00",,,"326,970.00",,,,,
4,36670,,"290,300.00",,,"290,300.00",,,,,
5,36670,,"253,630.00",,,"253,630.00",,,,,
6,36670,,"216,960.00",,,"216,960.00",,,,,
7,36670,,"180,290.00",,,"180,290.00",,,,,
8,36670,,"143,620.00",,,"143,620.00",,,,,
9,36670,,"106,950.00",,,"106,950.00",,,,,
10,36670,,"70,280.00",,,"70,280.00",,,,,
11,36670,,"33,610.00",,,"33,610.00",,,,,
12,33610,,0.00,,,0.00,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,TOTAL TO PAY EMI,,,,,,,,,,
,948891.28,1416505.44,,,,,1478222.1,529330.82,,,
